policy_name,observation_type,num_agents,num_whales,tagging_radius,successful_opportunity_mean,successful_opportunity_std,missed_opportunity_mean,missed_opportunity_std,mission_time_mean,mission_time_std,whale_not_visited_mean,whale_not_visited_std,time_bw_successive_rendezvous_mean,time_bw_successive_rendezvous_std,whale_missed_prob_0,whale_missed_prob_1,whale_missed_prob_2,whale_missed_prob_3,whale_missed_prob_4
MA_rollout,Acoustic_AOA_no_VHF,2,4,200,18.64,14.65,81.36,14.65,116.75,8.7,59.5,28.67,98.39,39.62,4,6,16,15,9
MA_rollout,Acoustic_AOA_no_VHF,2,4,300,20.75,14.28,79.25,14.28,117.4,6.89,55.0,28.28,96.11,39.68,3,12,14,14,7
MA_rollout,Acoustic_AOA_no_VHF,2,4,500,23.16,16.71,76.84,16.71,116.36,8.57,52.0,29.93,92.29,40.87,5,11,17,9,8
MA_rollout,Acoustic_AOA_VHF_AOA,2,4,200,42.29,20.53,57.71,20.53,101.88,26.67,25.0,23.98,68.86,38.96,18,18,11,2,1
MA_rollout,Acoustic_AOA_VHF_AOA,2,4,300,48.0,21.58,52.0,21.58,92.46,30.54,18.5,22.81,62.69,36.52,25,16,7,1,1
MA_rollout,Acoustic_AOA_VHF_AOA,2,4,500,53.03,22.67,46.97,22.67,83.46,31.34,14.0,21.89,58.14,33.78,31,13,4,1,1
MA_rollout,Acoustic_xy_no_VHF,2,4,200,54.71,20.99,45.29,20.99,83.3,28.53,9.5,19.93,57.68,33.98,38,7,4,0,1
MA_rollout,Acoustic_xy_no_VHF,2,4,300,57.54,21.25,42.46,21.25,79.73,28.57,8.5,19.75,55.11,31.9,40,5,4,0,1
MA_rollout,Acoustic_xy_no_VHF,2,4,500,61.15,18.59,38.85,18.59,71.73,26.73,5.0,18.03,50.63,28.54,45,3,0,1,1
MA_rollout,Acoustic_xy_VHF_xy,2,4,200,59.59,18.82,40.41,18.82,77.56,26.72,4.5,15.56,53.56,29.63,44,5,0,0,1
MA_rollout,Acoustic_xy_VHF_xy,2,4,300,61.53,18.84,38.47,18.84,74.62,26.02,3.5,15.01,51.3,28.07,46,3,0,0,1
MA_rollout,Acoustic_xy_VHF_xy,2,4,500,63.05,18.35,36.95,18.35,69.62,24.19,3.0,14.7,49.31,27.12,47,2,0,0,1
BLE,Acoustic_AOA_no_VHF,2,4,200,8.96,9.62,91.04,9.62,119.0,0.0,79.0,21.42,109.65,35.48,0,2,9,18,21
BLE,Acoustic_AOA_no_VHF,2,4,300,11.48,10.34,88.52,10.34,119.0,0.0,73.5,23.14,106.08,37.88,0,3,14,16,17
BLE,Acoustic_AOA_no_VHF,2,4,500,12.53,11.45,87.47,11.45,119.0,0.0,71.5,25.0,104.32,39.22,0,6,11,17,16
BLE,Acoustic_AOA_VHF_AOA,2,4,200,25.9,21.73,74.1,21.73,112.89,17.92,49.0,33.53,89.72,43.28,10,9,11,13,7
BLE,Acoustic_AOA_VHF_AOA,2,4,300,29.83,22.09,70.17,22.09,110.01,20.55,42.5,31.32,84.7,44.25,12,10,12,13,3
BLE,Acoustic_AOA_VHF_AOA,2,4,500,34.43,23.22,65.57,23.22,108.37,20.92,35.5,30.45,80.42,43.93,15,13,10,10,2
BLE,Acoustic_xy_no_VHF,2,4,200,35.42,21.33,64.58,21.33,107.56,20.51,30.5,28.41,80.77,42.51,18,12,12,7,1
BLE,Acoustic_xy_no_VHF,2,4,300,36.48,21.16,63.52,21.16,106.69,21.08,29.5,27.7,79.07,42.66,18,13,12,6,1
BLE,Acoustic_xy_no_VHF,2,4,500,39.14,21.67,60.86,21.67,104.55,22.78,27.0,26.38,76.32,42.55,19,14,12,4,1
BLE,Acoustic_xy_VHF_xy,2,4,200,39.88,21.3,60.12,21.3,105.95,22.0,24.5,26.22,76.37,41.86,21,15,9,4,1
BLE,Acoustic_xy_VHF_xy,2,4,300,40.54,21.61,59.46,21.61,103.25,23.16,23.5,26.65,75.46,41.4,23,13,9,4,1
BLE,Acoustic_xy_VHF_xy,2,4,500,42.21,21.9,57.79,21.9,101.47,23.94,22.0,25.81,73.46,41.36,24,13,9,3,1
VRP_TW_no_replan_CE,Acoustic_AOA_no_VHF,2,4,200,4.77,8.82,95.23,8.82,119.0,0.0,91.0,15.62,115.31,32.67,0,0,4,10,36
VRP_TW_no_replan_CE,Acoustic_AOA_no_VHF,2,4,300,5.64,8.85,94.36,8.85,119.0,0.0,89.0,15.94,113.45,34.78,0,0,4,14,32
VRP_TW_no_replan_CE,Acoustic_AOA_no_VHF,2,4,500,5.89,9.13,94.11,9.13,119.0,0.0,88.5,16.74,112.97,35.33,0,0,5,13,32
VRP_TW_no_replan_CE,Acoustic_AOA_VHF_AOA,2,4,200,7.26,10.59,92.74,10.59,119.0,0.0,85.5,17.39,110.15,36.4,0,1,3,20,26
VRP_TW_no_replan_CE,Acoustic_AOA_VHF_AOA,2,4,300,10.0,11.08,90.0,11.08,119.0,0.0,80.0,18.03,105.15,40.45,0,1,6,25,18
VRP_TW_no_replan_CE,Acoustic_AOA_VHF_AOA,2,4,500,11.72,12.02,88.28,12.02,119.0,0.0,77.0,19.26,102.45,42.21,0,1,10,23,16
VRP_TW_no_replan_CE,Acoustic_xy_no_VHF,2,4,200,10.98,12.93,89.02,12.93,119.0,0.0,79.5,19.81,103.91,41.89,0,1,9,20,20
VRP_TW_no_replan_CE,Acoustic_xy_no_VHF,2,4,300,11.9,12.77,88.1,12.77,119.0,0.0,77.5,19.53,102.04,43.01,0,1,10,22,17
VRP_TW_no_replan_CE,Acoustic_xy_no_VHF,2,4,500,14.65,14.71,85.35,14.71,119.0,0.0,73.0,21.7,98.08,44.22,0,3,12,21,14
VRP_TW_no_replan_CE,Acoustic_xy_VHF_xy,2,4,200,12.21,14.24,87.79,14.24,119.0,0.0,77.5,20.77,101.86,43.29,0,2,9,21,18
VRP_TW_no_replan_CE,Acoustic_xy_VHF_xy,2,4,300,12.64,14.03,87.36,14.03,119.0,0.0,76.5,20.25,100.96,43.63,0,2,9,23,16
VRP_TW_no_replan_CE,Acoustic_xy_VHF_xy,2,4,500,15.19,15.82,84.81,15.82,119.0,0.0,72.5,22.5,97.51,44.66,0,4,11,21,14